,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
147,K00309,4425.0,60,4.7,1,0.07,0.12,0.12,-99,0,10.48,0.011,288.8231106127072,42.54261658607125,kmag,allsky,smemp
148,K00313,5304.0,60,4.7,1,0.02,0.12,0.12,-99,0,11.165,0.011,282.13558750642545,43.03919510904939,kmag,allsky,smemp
149,K00314,3814.0,60,4.7,1,-0.15,0.12,0.12,-99,0,9.506,0.011,290.381412160599,43.29306449815774,kmag,allsky,smemp
150,K00315,4779.0,60,4.7,1,-0.26,0.12,0.12,-99,0,10.813,0.016,297.2717206677752,43.333064400613615,kmag,allsky,smemp
151,K00316,5460.0,60,4.7,1,0.38,0.12,0.12,-99,0,11.167,0.015,282.3919450611155,43.88941666570939,kmag,allsky,smemp
152,K00317,6408.0,60,4.7,1,-0.02,0.12,0.12,-99,0,11.67,0.023,298.81638006651366,43.99802029129117,kmag,allsky,smemp
153,K00318,6288.0,60,4.7,1,0.27,0.12,0.12,-99,0,11.068,0.011,288.1539730464775,44.06881543711943,kmag,allsky,smemp
154,K00321,5588.0,60,4.7,1,0.3,0.12,0.12,-99,0,10.97,0.017,291.84817636138166,44.9682807169804,kmag,allsky,smemp
155,K00323,5342.0,60,4.7,1,0.03,0.12,0.12,-99,0,10.827,0.017,284.06112244113467,45.50681266190158,kmag,allsky,smemp
156,K00327,5969.0,60,4.7,1,-0.04,0.12,0.12,-99,0,11.709000000000001,0.015,287.3694055908857,46.76814728133778,kmag,allsky,smemp
157,K00328,5804.0,60,4.7,1,-0.14,0.12,0.12,-99,0,11.224,0.012,293.5763339694547,46.775498763441966,kmag,allsky,smemp
158,K00330,5869.0,60,4.7,1,0.08,0.12,0.12,-99,0,12.384,0.024,296.85917873187145,49.16201252470586,kmag,allsky,smemp
159,K00331,5489.0,60,4.7,1,0.11,0.12,0.12,-99,0,11.798,0.017,296.18342393124783,47.35877755113836,kmag,allsky,smemp
160,K00332,5661.0,60,4.7,1,0.39,0.12,0.12,-99,0,11.475,0.019,297.6509280871326,47.3962245865137,kmag,allsky,smemp
161,K00333,6074.0,60,4.7,1,0.07,0.12,0.12,-99,0,12.125,0.017,290.95791302576566,47.40626730434516,kmag,allsky,smemp
162,K00337,5690.0,60,4.7,1,0.07,0.12,0.12,-99,0,12.409,0.019,295.6848594610788,47.748091440219795,kmag,allsky,smemp
163,K00338,4830.0,60,4.7,1,0.17,0.12,0.12,-99,0,11.393,0.017,297.97072711309926,47.73160410088663,kmag,allsky,smemp
164,K00340,5649.0,60,4.7,1,0.38,0.12,0.12,-99,0,11.435,0.018,297.6645308164843,47.80134409064002,kmag,allsky,smemp
165,K00341,5404.0,60,4.7,1,0.12,0.12,0.12,-99,0,11.698,0.02,297.961561620321,48.244336301032206,kmag,allsky,smemp
166,K00343,5698.0,60,4.7,1,0.01,0.12,0.12,-99,0,11.762,0.021,295.1190067111378,48.4813635295606,kmag,allsky,smemp
167,K00344,5633.0,60,4.7,1,-0.31,0.12,0.12,-99,0,11.9,0.02,283.3402947606605,48.54906200796229,kmag,allsky,smemp
168,K00345,4833.0,60,4.7,1,0.06,0.12,0.12,-99,0,11.177,0.022,286.52465824458375,48.683548056387366,kmag,allsky,smemp
169,K00346,4995.0,60,4.7,1,0.06,0.12,0.12,-99,0,11.545,0.02,298.66090942905436,48.60630219474305,kmag,allsky,smemp
170,K00348,4642.0,60,4.7,1,0.13,0.12,0.12,-99,0,11.683,0.019,293.68568928293314,48.82499154060289,kmag,allsky,smemp
171,K00350,5746.0,60,4.7,1,0.02,0.12,0.12,-99,0,11.923,0.021,287.8614012330894,49.2644450009054,kmag,allsky,smemp
172,K00351,5970.0,60,4.7,1,0.13,0.12,0.12,-99,0,12.482,0.024,284.43346424563623,49.305123890603255,kmag,allsky,smemp
173,K00352,5845.0,60,4.7,1,0.04,0.12,0.12,-99,0,12.223,0.025,298.06765188963004,49.412540963560524,kmag,allsky,smemp
174,K00353,6334.0,60,4.7,1,-0.07,0.12,0.12,-99,0,12.228,0.023,295.2126471554633,49.56216004423054,kmag,allsky,smemp
175,K00355,5968.0,60,4.7,1,0.17,0.12,0.12,-99,0,11.845,0.019,296.5666586608578,49.6961741944095,kmag,allsky,smemp
176,K00356,5372.0,60,4.7,1,-0.01,0.12,0.12,-99,0,11.892,0.021,297.7363605387838,49.63710098267515,kmag,allsky,smemp
177,K00360,5874.0,60,4.7,1,-0.12,0.12,0.12,-99,0,11.582,0.021,289.21475840819977,50.650836515026064,kmag,allsky,smemp
178,K00361,5595.0,60,4.7,1,0.12,0.12,0.12,-99,0,11.623,0.023,289.8805804383212,51.27699071532589,kmag,allsky,smemp
179,K00365,5412.0,60,4.7,1,-0.18,0.12,0.12,-99,0,9.645,0.013,297.4865502587141,49.623397520608215,kmag,allsky,smemp
180,K00366,6271.0,60,4.7,1,-0.1,0.12,0.12,-99,0,10.626,0.019,291.66414779715717,38.619184884542534,kmag,allsky,smemp
181,K00367,5631.0,60,4.7,1,0.16,0.12,0.12,-99,0,9.64,0.017,284.4722473288718,39.911888967712656,kmag,allsky,smemp
182,K00368,6684.0,60,4.7,1,-0.27,0.12,0.12,-99,0,11.081,0.011,290.85458506611263,42.08690944866917,kmag,allsky,smemp
183,K00369,6163.0,60,4.7,1,-0.16,0.12,0.12,-99,0,10.792,0.011,281.9156127900214,42.77555352589282,kmag,allsky,smemp
184,K00370,5990.0,60,4.7,1,0.01,0.12,0.12,-99,0,10.628,0.016,291.3877397452263,44.52904651782132,kmag,allsky,smemp
